2006-04-04 | 27 | 13 | 10 | EPADADM | DIVISAO TECNICA DE SUPRIMENTOS - SMS.3
ATA DE REGISTRO DE PRECOS 
2006-0.052.103-2 - A VISTA DO NOTICIADO NO PRESENTE ADMINISTRATIVO, NOS TERMOS DO ART. 15, INCISO II, DA LEI FEDERAL 8.666/93, DO ART. 3º DA LEI MUN.13.278/02 E FACE A COMPETENCIA DELEGADA PELA PORT.368/05-SMS.G, AUTORIZO A AQUISICAO DE COLETOR PARA ARTIGOS DESCARTAVEIS EM PAPELAO, CAP. 07 LITROS, ATRAVES DA ATA DE REGISTRO DE PRECOS 210/04-SMS, CUJA DETENTORA E A EMPRESA INTERCONTINENTAL MEDICAL IMP. E EXP. LTDA., CNPJ.02.881.877/0001-64, PARA USO DE SAMU-192, NO VALOR DE R$1.610,00, ATRAVES DA N.R.33.533/06.

2006-0.074.775-8 - A VISTA DO NOTICIADO NO PRESENTE ADMINISTRATIVO, NOS TERMOS DO ART. 15, INCISO II, DA LEI FEDERAL 8.666/93, DO ART. 3º DA LEI MUN.13.278/02 E FACE A COMPETENCIA DELEGADA PELA PORT.368/05-SMS.G, AUTORIZO A AQUISICAO DE TIRA REAGENTE PARA DETERMINACAO DE GLICOSE NO SANGUE, ATRAVES DA ATA DE REGISTRO DE PRECOS 199/04-SMS, CUJA DETENTORA E A EMPRESA CBS MEDICO CIENTIFICA COMERCIO E REPRES. LTDA., CNPJ.48.791.685/0001-68, PARA USO DE SMS-34, NO VALOR DE R$1.079.775,00, ATRAVES DA N.R.34.881/06.

2006-0.076.758-9 - A VISTA DO NOTICIADO NO PRESENTE ADMINISTRATIVO, NOS TERMOS DO ART. 15, INCISO II, DA LEI FEDERAL 8.666/93, DO ART. 3º DA LEI MUN.13.278/02 E FACE A COMPETENCIA DELEGADA PELA PORT.368/05-SMS.G, AUTORIZO A AQUISICAO DE SERINGA DESCARTAVEL PARA INSULINA COM AGULHA, ATRAVES DA ATA DE REGISTRO DE PRECOS 033/06-SMS, CUJA DETENTORA E A EMPRESA MEDSTORY COM. DE PRODUTOS HOSPITALARES LTDA., CNPJ.00.315.567/0001-57, PARA USO DE SMS-34, NO VALOR DE R$320.000,00, ATRAVES DA N.R.34.88706.

2006-0.074.880-0 - A VISTA DO NOTICIADO NO PRESENTE ADMINISTRATIVO, NOS TERMOS DO ART. 15, INCISO II, DA LEI FEDERAL 8.666/93, DO ART. 3º DA LEI MUN.13.278/02 E FACE A COMPETENCIA DELEGADA PELA PORT.368/05-SMS.G, AUTORIZO A AQUISICAO DE LANCETA PARA DETERMINACAO DE GLICOSE NO SANGUE, ATRAVES DA ATA DE REGISTRO DE PRECOS 200/2004-SMS, CUJA DETENTORA E A EMPRESA ROCHE DIAG. BRASIL LTDA., CNPJ.30.280.358/0001-86, PARA USO DO SMS-34, NO VALOR DE R$238.500,00, ATRAVES DA N.R.34.879/06.

2006-0.075.394-4 - A VISTA DO NOTICIADO NO PRESENTE ADMINISTRATIVO, NOS TERMOS DO ART. 15, INCISO II, DA LEI FEDERAL 8.666/93, DO ART. 3º DA LEI MUN.13.278/02 E FACE A COMPETENCIA DELEGADA PELA PORT.368/05-SMS.G, AUTORIZO A AQUISICAO DE TIRA REAGENTE PARA DETERMINACAO DE GLICOSE NO SANGUE, ATRAVES DA ATA DE REGISTRO DE PRECOS 199/04-SMS, CUJA DETENTORA E A EMPRESA CBS MEDICO CIENTIFICA COMERCIO E REPRES. LTDA., CNPJ.48.791.685/0001-68, PARA USO DE DS-721, NO VALOR DE R$24.954,80, ATRAVES DA N.R.33.689/06.

2006-0.081.638-5 - A VISTA DO NOTICIADO NO PRESENTE ADMINISTRATIVO, NOS TERMOS DO ART. 15, INCISO II, DA LEI FEDERAL 8.666/93, DO ART. 3º DA LEI MUN.13.278/02 E FACE A COMPETENCIA DELEGADA PELA PORT.368/05-SMS.G, AUTORIZO A AQUISICAO DE FIO DE CATGUT CROMADO, ATRAVES DA ATA DE REGISTRO DE PRECOS 078/2004-SMS, CUJA DETENTORA E A EMPRESA DE PAULI COM. REPRES. IMP. E EXP. LTDA., CNPJ.03.951.140/0001-33, PARA USO DE DS-721, NO VALOR DE R$35.725,68, ATRAVES DA N.R.33.707/06.

2006-0.081.625-3 - A VISTA DO NOTICIADO NO PRESENTE ADMINISTRATIVO, NOS TERMOS DO ART. 15, INCISO II, DA LEI FEDERAL 8.666/93, DO ART. 3º DA LEI MUN.13.278/02 E FACE A COMPETENCIA DELEGADA PELA PORT.368/05-SMS.G, AUTORIZO A AQUISICAO DE FIO SINTETICO ABSORVIVEL, ATRAVES DA ATA DE REGISTRO DE PRECOS 085/04-SMS, CUJA DETENTORA E A EMPRESA MOGAMI IMPORTACAO E EXPORTACAO LTDA., CNPJ.50.247.071/0001-61, PARA USO DO DS-721, NO VALOR DE R$8.812,80, ATRAVES DA N.R.33.700/06.
