2006-11-28 | 27 | 13 | 10 | EPADBDM | COMUNICADO 55/06-SMS.3
ACOMPANHAMENTO DA EVOLUCAO DOS PRECOS REGISTRADOS, PARA FINS DO DISPOSTO NO ART. 14 DO DEC. 46.662, DE 24/11/05:
ATAS DE REGISTRO DE PRECOS - SMS.G - NOVEMBRO/06
ATA	ITEM	OBJETO	PRECO/R$
001/05	1	MICRONEBULIZADOR - ADULTO	4,10/UN
001/05	2	MICRONEBULIZADOR - INFANTIL	4,10/UN
001/06	6	SONDA GASTRICA LEVINE CALIBRE 10 (110CM) - PAC.C/20UN	0,40/UN
001/06	1	SONDA GASTRICA LEVINE CALIBRE 4 (40CM) - PAC.C/20UN	0,26/UN
001/06	4	SONDA GASTRICA LEVINE CALIBRE 6 (110CM) - PAC.C/20UN	0,37/UN
001/06	2	SONDA GASTRICA LEVINE CALIBRE 6 (40CM) - PAC.C/20UN	0,27/UN
001/06	5	SONDA GASTRICA LEVINE CALIBRE 8 (110CM) - PAC.C/20UN	0,37/UN
001/06	3	SONDA GASTRICA LEVINE CALIBRE 8 (40CM) - PAC.C/20UN	0,27/UN
002/05	1	ALCOOL ETILICO 99,5°GL-FR.C/ 1.000ML - CX. C/12 FR. 	4,00/FR
002/06	1	LIMALHA DE PRATA CONVENCIONAL - FR. 30G	29,90/FR
003/05	1	FILME PARA MAMOGRAFIA  - CX. C/ 100 PELICULAS	156,00/CX
003/06	2	ATADURA DE ALGODAO USO ORTOPEDICO 10CM	0,880/RL
003/06	3	ATADURA DE ALGODAO USO ORTOPEDICO 15CM	0,1190/RL
003/06	4	ATADURA DE ALGODAO USO ORTOPEDICO 20CM	0,1658/RL
003/06	1	ATADURA DE ALGODAO USO ORTOPEDICO 6CM	0,0558/RL
004/05	1	SERVICO CONF.PROTESE DENTARIA C/FORNEC.MATERIAL	190,00/UN
004/06	1	TESTE PARA HEMOGRAMA	1,39/TESTE
005/05	1	MASCARA TIPO RESPIRADOR FACIAL - CX. C/ 35 UN	2,75/UN
005/06	1	PULSEIRA DE IDENTIFICACAO - ADULTO - PAC. C/ 100 UN	0,30/UN
006/06	7	ACETILENO DISSOLVIDO COMUM	14,90/KG
006/06	6	AR COMPRIMIDO MEDICINAL	4,45/M³
006/06	9	MISTURA ANALISE SANG. C/3 COMP. CO²=5%, O²=12%,N²=83%	69,00/M³
006/06	8	MISTURA ANALISE SANGUINE C/2 COMP. CO²=10%, N²=90%	79,00/M³
006/06	4	NITROGENIO LIQUIDO	0,40/M³
006/06	5	OXIDO NITROSO LIQUIDO	8,01/KG
006/06	2	OXIGENIO GASOSO PURO MEDICINAL DOM. + ACESSORIOS	7,99/M³
006/06	1	OXIGENIO GASOSO PURO MEDICINAL HOSPITALAR	4,89/M³
006/06	3	OXIGENIO LIQUIDO PURO  HOSPITALAR	0,59/M³
007/06	1	ACET.BETAM.3MG+FOSF.DIS.BETAM.3MG - CX. C/ 01 AMP. 1ML	3,30/AMP
008/06	2	LEVONORGESTREL 0,75MG - CX. C/ 02 CP.	1,93/CP
009/05	3	HETAMIDO(HIDROXIETIL.)6% BAIXO PM - BOLSA PLAST. 500ML	32,00/UN
009/06	5	PROPILTIOURACIL 100MG -  CX C/ 30 CP (DOSE UNITARIA)	0,25/CP
010/05	5	METRONIDAZOL 100MG/G-GELELIA - CX. C/ 50 BNG. 50G	1,30/BNG
010/06	1	AMICACINA SOL. 250MG/ML - CX. C/ 50 AMP. 2 ML	0,7100/AMP
011/05	1	RANITIDINA 25MG/ML - CX. C/ 50 AMP 2ML	0,208/AMP
011/06	3	CLORANFENICOL FAM.1000MG - CX.C/ 50 FAM + DIL	1,3650/FAM
012/05	2	VITAMINA C 200MG/ML-SOLUCAO - CX. C/ 50 FR	0,88/FR
013/05	3	INSULINA HUMANA NPH 100 UI - CX. C/ 01 FAM 10ML	19,00/FAM
013/06	5	AZITROMICINA 500MG - CX. C/ 01 FAM	75,04/FAM
014/05	4	ADOCANTE ARTIFICIAL-ASPARTAMO - CX.C/12 FR. 100ML	4,27/FR
014/06	4	FENOBARBITAL 100MG - CX. C/ 200 CP 	0,024/CP
014/06	3	FENOBARBITAL 100MG/ML - CX. C/ 50 AMP. 2 ML	0,595/AMP
014/06	1	NITRAZEPAM 5MG - CX. C/ 200 CP	0,039/CP
015/05	4	CLOR.SODIO 9MG/ML+CLOR.BENZAL.0,1MG/ML - FR. 30 ML	0,96/FR
015/06	2	MIDAZOLAN  SOL. INJ. 5MG/ML -  CX. C/ 5 AMP. 3 ML	0,8552/AMP
016/05	1	ERITROMICINA 50MG/ML-SUSP. - CX. C/50 FR	2,00/FR
016/06	6	FLUOXETINA 20MG - CX. C/ 30 CAP.	0,04/CAP
017/06	1	CLORETO DE SODIO SUXAMETONIO 100MG - CX. C/ 01 FAM	7,50/FAM
018/05	4	PERMETRINA 5% LOCAO - FR. C/ 60ML	4,07/FR
018/06	2	BACLOFENO 10MG - CX. C/ 20 CP	0,12/CP
018/06	4	SULFATO DE TERBUTALINA 0,5MG/ML - CX. C/ 06 AMP 1ML	1,219/AMP
019/05	5	ALBENDAZOL 40MG/ML - SUSP. - FR. C/ 10ML	0,67/FR
019/06	3	INSULINA HUMANA REGULAR 100UI/ML - CX. C/ 01 FAM 10ML	20,40/FAM
020/05	1	CEFEPIMA, CLORIDRATO 1G + DILUENTE - FAM.	10,71/FAM
021/06	1	SAPATILHA DE MALHA SIMPLES (PROPE) - PAC. C/ 100 UN	0,1389/UN
022/05	3	SULFADIAZINA 500MG - CX. C/ 200 CP	0,0829/CP
022/06	1	AGULHA HIPOD.DESC.SILICONIZADA  13X4,5 - CX. C/ 100 UN	0,065/UN
022/06	3	AGULHA HIPOD.DESC.SILICONIZADA  25X7,0 - CX. C/ 100 UN	0,0509/UN
022/06	4	AGULHA HIPOD.DESC.SILICONIZADA  25X8,0 - CX. C/ 100 UN	0,0509/UN
022/06	5	AGULHA HIPOD.DESC.SILICONIZADA  30X7,0 - CX. C/ 100 UN	0,0523/UN
022/06	6	AGULHA HIPOD.DESC.SILICONIZADA  30X8,0 - CX. C/ 100 UN	0,0524/UN
022/06	7	AGULHA HIPOD.DESC.SILICONIZADA  40X12 - CX. C/ 100 UN	0,0689/UN
023/06	2	AGULHA HIPOD.DESC.SILICONIZADA  20X5,5 - CX. C/ 100 UN	0,0707/UN
024/05	5	SOLUCAO P/ DIALISE PERITONIAL 7% - FR. 1.000ML	3,80/FR
024/06	1	KIT ENXOVAL PROG. MAE PAULISTANA -CX. OU SACOLA C/ KIT	38,40/KIT
025/05	1	MORFINA, SULFATO 1MG/ML - CX. C/ 50 AMP. 2ML	1,1386/AMP
025/06	2	GLICEROL SOLUCAO A 12% - CX. C/ 20 FR. 500ML	2,26/FR
025/06	1	MANITOL SOLUCAO INJETAVEL A 20% - CX. C/ 24 FR. 250ML	2,00/FR
026/05	2	VITAMINA K-1 10MG/ML - CX. C/ 50 AMP 1ML	0,42/AMP
026/06	3	MALEATO  DEXCLORFENIRAMINA 0,4MG/ML-CX C/50FR 120ML	0,85/FR
027/06	7	ACIDO ASCORBICO 500MG - CX. C/ 20 CP.	0,07/CP
028/05	4	SOLUCAO P/ DIALISE PERITONIAL 1,5% - CX.C/ 6FR. 2.000ML	6,00/FR
028/06	5	FRA.FOSFOLIPIDICA 25MG/ML - FAM 8ML C/ 200MG FOSFOL.	476,00/FAM
029/06	6	CLORID.CLOBUTINOL 4MG/ML-CX. C/24 FR C/120ML+MEDIDA	3,525/FR
030/06	1	ELETRODO DESC. MONIT.CARDIACA ADULTO - PAC. C/ 30 UN	0,2696/UN
031/05	1	ATROPINA,SULFATO 0,25MG/ML - CX. C/ 50 AMP 1ML	0,198/AMP
031/06	2	ELETRODO DESC. MONIT.CARDIACA INFANTIL - PAC. C/ 30 UN	0,315/UN
032/06	1	TESTE WESTERN BLOT (HIV-1 IGG) - KIT P/ 27 TESTES	134,00/TEST
033/05	3	AMPICILINA SODICA 1G+SULBACTAM 500MG-IV-CX.C/ 20 FAM	9,80/FAM
033/06	1	SERINGA DESCARTAVEL DE INSULINA COM AGULHA	0,64/UN
034/05	2	AMOXICILINA 1G+ACIDO CLAVUL. 200MG-IV-CX.C/10 FAM	11,71/FAM
034/06	1	FENITOINA 100MG - CX. C/ 100 CP	0,03/CP
034/06	4	METFORMINA 850MG - CX. C/ 150 CP	0,0343/CP
034/06	2	PROPANOLOL 40MG - CX. C/ 100 CP	0,0129/CP
